330000  浙江省	1
330783004000	白云街道	4
330783005000	江北街道	4
330783006000	城东街道	4
330783007000	六石街道	4
330783106000	巍山镇	4
330783107000	虎鹿镇	4
330783108000	歌山镇	4
330783109000	佐村镇	4
330783110000	东阳江镇	4
330783112000	湖溪镇	4
330783114000	马宅镇	4
330783116000	千祥镇	4
330783118000	南马镇	4
330783122000	画水镇	4
330783123000	横店镇	4
330783201000	三单乡	4
330784000000	永康市	3
330784001000	东城街道	4
330784002000	西城街道	4
330784003000	江南街道	4
330784105000	石柱镇	4
330784106000	前仓镇	4
330784107000	舟山镇	4
330784108000	古山镇	4
330784109000	方岩镇	4
330784110000	龙山镇	4
330784111000	西溪镇	4
330784112000	象珠镇	4
330784113000	唐先镇	4
330784114000	花街镇	4
330784115000	芝英镇	4
330800000000	衢州市	2
330801000000	市辖区	3
330802000000	柯城区	3
330802005000	新新街道	4
330802006000	府山街道	4
330802007000	荷花街道	4
330802008000	信安街道	4
330802009000	白云街道	4
330802010000	双港街道	4
330802012000	衢化街道	4
330802013000	花园街道	4
330802100000	石梁镇	4
330802101000	航埠镇	4
330802205000	黄家乡	4
330802209000	七里乡	4
330802210000	九华乡	4
330802211000	沟溪乡	4
330802212000	华墅乡	4
330802213000	姜家山乡	4
330802214000	万田乡	4
330802215000	石室乡	4
330803000000	衢江区	3
330803001000	樟潭街道	4
330803002000	浮石街道	4
330803100000	上方镇	4
330803101000	峡川镇	4
330803103000	莲花镇	4
330803109000	全旺镇	4
330803110000	大洲镇	4
330803111000	后溪镇	4
330803112000	廿里镇	4
330803113000	湖南镇	4
330803114000	高家镇	4
330803115000	杜泽镇	4
330803200000	灰坪乡	4
330803202000	太真乡	4
330803203000	双桥乡	4
330803206000	周家乡	4
330803207000	云溪乡	4
330803213000	举村乡	4
330803218000	岭洋乡	4
330803219000	黄坛口乡	4
